"date","tmean_celsius"
2023-01-01,12.3449461383584
2023-01-02,11.6508667745708
2023-01-03,10.035263928072
2023-01-04,9.50671077775369
2023-01-05,8.59162575050639
2023-01-06,7.69542620623556
2023-01-07,8.59433804735728
2023-01-08,10.0956194088783
2023-01-09,11.1357910909771
2023-01-10,11.6238444010417
2023-01-11,12.3217135959202
2023-01-12,14.3292348602672
2023-01-13,15.2469643675251
2023-01-14,12.2715442045236
2023-01-15,10.3882535957996
2023-01-16,10.1277653446904
2023-01-17,10.2141504358362
2023-01-18,10.950845148534
2023-01-19,13.7221923828125
2023-01-20,14.0808805489246
2023-01-21,14.0847577883874
2023-01-22,15.053042489511
2023-01-23,16.6586167323736
2023-01-24,16.6219104908131
2023-01-25,16.3669267065731
2023-01-26,14.3090510615596
2023-01-27,13.3333667896412
2023-01-28,14.0730605137201
2023-01-29,13.9301052517361
2023-01-30,14.3836921597705
2023-01-31,15.4067397129389
2023-02-01,14.8873896846065
2023-02-02,15.8289959942853
2023-02-03,15.861855137201
2023-02-04,17.0390390655141
2023-02-05,17.4641266999421
2023-02-06,18.8514701183931
2023-02-07,17.8646653917101
2023-02-08,16.7729431152344
2023-02-09,18.9243419505932
2023-02-10,20.1024598675009
2023-02-11,19.7791491096402
2023-02-12,16.831489016686
2023-02-13,16.3276125307436
2023-02-14,17.6152335461275
2023-02-15,19.2011239510995
2023-02-16,19.7315868989921
2023-02-17,20.3999380606192
2023-02-18,20.3763159481095
2023-02-19,21.3688462999132
2023-02-20,23.2617446711034
2023-02-21,23.1622264720775
2023-02-22,21.2767416118104
2023-02-23,20.6138237093702
2023-02-24,20.2970911850164
2023-02-25,21.3791789490499
2023-02-26,22.3340344087577
2023-02-27,22.4563262562693
2023-02-28,22.4200815459828
2023-03-01,22.7406506196952
2023-03-02,23.3748428156346
2023-03-03,23.709575436439
2023-03-04,22.1466542185088
2023-03-05,22.8428434395496
2023-03-06,22.7134018132716
2023-03-07,22.6245798369984
2023-03-08,22.5762264298804
2023-03-09,22.4949257179543
2023-03-10,23.2058571897907
2023-03-11,23.9300351743345
2023-03-12,24.7307463469328
2023-03-13,25.0065608271846
2023-03-14,24.9238427432967
2023-03-15,25.3774628062307
2023-03-16,24.9555124541859
2023-03-17,23.389054211275
2023-03-18,20.9295615867332
2023-03-19,21.361161521629
2023-03-20,19.241756410952
2023-03-21,19.1732938036506
2023-03-22,21.1412473325376
2023-03-23,23.1769122088397
2023-03-24,22.5346354920187
2023-03-25,22.5758304548852
2023-03-26,23.520787293234
2023-03-27,22.7203104654948
2023-03-28,23.5000229070216
2023-03-29,25.0484445077401
2023-03-30,24.1186662085262
2023-03-31,20.3981021080488
2023-04-01,21.4563025203752
2023-04-02,23.2050626024788
2023-04-03,24.4948424539448
2023-04-04,24.0002519772376
2023-04-05,24.5616657775125
2023-04-06,25.1988117736063
2023-04-07,25.1041583025897
2023-04-08,25.4264028290171
2023-04-09,25.8716407304928
2023-04-10,26.7843495310088
2023-04-11,28.372363356602
2023-04-12,29.3687833809558
2023-04-13,29.6234416443624
2023-04-14,30.2938239203559
2023-04-15,31.1220174907166
2023-04-16,31.3199352876639
2023-04-17,31.9201433346595
2023-04-18,32.2598149052372
2023-04-19,30.6582629545235
2023-04-20,29.5123599205488
2023-04-21,28.6832542136863
2023-04-22,28.8081182032455
2023-04-23,26.2642135808497
2023-04-24,25.6163702317226
2023-04-25,26.923270821277
2023-04-26,28.6608170120804
2023-04-27,29.3778071650752
2023-04-28,27.7545813289689
2023-04-29,27.1575489938995
2023-04-30,24.3659207567756
